Neighborhood,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more"
South Side Flats,8.0,11.0,0.0,0.0,10.0,0.0,13.0,45.0,0.0,10.0,38.0,79.0,57.0,88.0,103.0,98.0,76.0,311.0,187.0,164.0,64.0,10.0,13.0,0.0,0.0,0.0
South Side Slopes,31.0,31.0,23.0,28.0,34.0,59.0,30.0,95.0,82.0,44.0,80.0,82.0,8.0,106.0,64.0,76.0,17.0,60.0,16.0,74.0,13.0,0.0,0.0,0.0,0.0,0.0
Spring Garden,4.0,12.0,24.0,43.0,18.0,14.0,5.0,23.0,18.0,22.0,4.0,25.0,0.0,35.0,6.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring Hill-City View,15.0,25.0,26.0,8.0,8.0,0.0,34.0,62.0,79.0,90.0,86.0,12.0,63.0,71.0,27.0,16.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squirrel Hill North,11.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,22.0,9.0,0.0,9.0,23.0,36.0,48.0,77.0,216.0,188.0,279.0,307.0,383.0,206.0,74.0,21.0,50.0
Squirrel Hill South,36.0,0.0,28.0,6.0,13.0,0.0,16.0,0.0,36.0,0.0,20.0,32.0,28.0,200.0,119.0,217.0,198.0,460.0,343.0,482.0,328.0,382.0,149.0,43.0,0.0,16.0
Stanton Heights,11.0,19.0,10.0,0.0,22.0,0.0,0.0,45.0,80.0,112.0,86.0,132.0,193.0,439.0,181.0,246.0,41.0,55.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Summer Hill,5.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,30.0,28.0,52.0,84.0,46.0,76.0,24.0,22.0,16.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Swisshelm Park,9.0,0.0,0.0,0.0,0.0,16.0,0.0,10.0,0.0,20.0,38.0,13.0,16.0,137.0,38.0,74.0,56.0,37.0,10.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0
Troy Hill,20.0,8.0,0.0,14.0,24.0,62.0,25.0,89.0,80.0,42.0,49.0,59.0,24.0,28.0,0.0,0.0,15.0,7.0,0.0,16.0,15.0,41.0,0.0,0.0,0.0,0.0
Upper Hill,0.0,22.0,23.0,42.0,24.0,11.0,8.0,9.0,15.0,91.0,59.0,15.0,14.0,16.0,13.0,6.0,9.0,6.0,36.0,60.0,9.0,25.0,0.0,0.0,0.0,0.0
Upper Lawrenceville,0.0,0.0,17.0,13.0,5.0,23.0,55.0,42.0,91.0,57.0,47.0,99.0,7.0,4.0,49.0,25.0,18.0,20.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
West Oakland,0.0,0.0,10.0,0.0,6.0,23.0,0.0,13.0,52.0,11.0,37.0,0.0,10.0,2.0,0.0,20.0,0.0,4.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Westwood,29.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,65.0,70.0,59.0,104.0,124.0,191.0,108.0,42.0,0.0,130.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Windgap,25.0,36.0,5.0,0.0,0.0,18.0,8.0,46.0,47.0,54.0,49.0,40.0,33.0,129.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
